"Source:","C:\Users\User\Desktop\Misc\Speaker\Discrete_Channel\Discrete_Channel.sch"
"Date:","11/7/2021 2:22:24 PM"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Note","Notes","Part"
"","","R8","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://www.seielect.com/catalog/sei-rncf.pdf","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCF0805BKT10K0/1711521","","RNCF0805BKT10K0"
"","","R9","18k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB183V/3073746","","ERA-6ARB183V"
"","","R10","18k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB183V/3073746","","ERA-6ARB183V"
"","","R11","2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB202V/3073747","","‎ERA-6ARB202V‎"
"","","R12","2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-6ARB202V/3073747","","‎ERA-6ARB202V‎"
"","","R13","1R","Device:R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.bourns.com/docs/product-datasheets/crm.pdf","https://www.digikey.com/en/products/detail/bourns-inc/CRM2512-JW-1R0ELF/2563950","","CRM2512-JW-1R0ELF"
"","","R14","1R","Device:R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.bourns.com/docs/product-datasheets/crm.pdf","https://www.digikey.com/en/products/detail/bourns-inc/CRM2512-JW-1R0ELF/2563950","","CRM2512-JW-1R0ELF"
"","","R15","3R3","Device:R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.bourns.com/data/global/pdfs/CRS.pdf","https://www.digikey.com/en/products/detail/bourns-inc/CRS2512-FW-3R30ELF/5778664","","CRS2512-FW-3R30ELF"
"","","R16","3R3","Device:R_Small_US","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","https://www.bourns.com/data/global/pdfs/CRS.pdf","https://www.digikey.com/en/products/detail/bourns-inc/CRS2512-FW-3R30ELF/5778664","","CRS2512-FW-3R30ELF"
"","","U1","TPA3244","Discrete_Channel-rescue:TPA3244-TPA3244","Custom_TO:HTSSOP-44_6.1x14mm_P0.635mm_TopEP4.14x7.01mm","https://www.ti.com/lit/ds/symlink/tpa3244.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1636011771112&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Ftpa3244","https://www.digikey.com/en/products/detail/texas-instruments/TPA3244DDWR/6566104","","TPA3244DDWR"
